LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
MAC000002,Std,2012-10-17 23:00:00.0000000, 0.288 ,ACORN-A,Affluent
MAC000002,Std,2012-10-17 23:30:00.0000000, 0.256 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 00:00:00.0000000, 0.288 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 00:30:00.0000000, 0.259 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 01:00:00.0000000, 0.291 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 01:30:00.0000000, 0.238 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 02:00:00.0000000, 0.17 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 02:30:00.0000000, 0.116 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 03:00:00.0000000, 0.165 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 03:30:00.0000000, 0.112 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 04:00:00.0000000, 0.166 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 04:30:00.0000000, 0.109 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 05:00:00.0000000, 0.166 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 05:30:00.0000000, 0.106 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 06:00:00.0000000, 0.165 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 06:30:00.0000000, 0.102 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 07:00:00.0000000, 0.164 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 07:30:00.0000000, 0.103 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 08:00:00.0000000, 0.173 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 08:30:00.0000000, 0.145 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 09:00:00.0000000, 0.366 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 09:30:00.0000000, 0.187 ,ACORN-A,Affluent
MAC000002,Std,2012-10-18 10:00:00.0000000, 0.194 ,ACORN-A,Affluent
